city,county,state,population rank,name,e-mail,phone,"availability",license,year,aproximate count,cost,who,how,result,conversion rules/info,status
Fargo,,North Dakota,,Daryl Masten,dmasten@cityoffargo.com,701-241-8196,CD,Public Domain,,,Free,AndrewBuck,E-Mail / In Person,Data Available,,
Akron,Summit,Ohio,89,,,,http://fiscaloffice.summitoh.net/index.php/documents-a-forms/viewdownload/68-parcels/503-parcels,,,,,,should follow up with the Code For America Contact there. ,,,
Cincinnati,Hamilton,Ohio,54,,CagisOffice@Cincinnati-OH.gov,(513) 352-1644,http://cagisonline.hamilton-co.org/arcgis/rest/services/Countywide_Layers/addressesTables/MapServer/0,,,,,,,,,
Cleveland,Cuyahoga,Ohio,38,Joe Milan,jmilan@cuyahogacounty.us,,http://gis.cuyahogacounty.us/en-US/GIS-Data.aspx,unknown,published 2010,,,skorasaurus,in-person,"need to follow up, verify",,
Columbus,,Ohio,15,,,,http://mymaps.columbus.gov/ArcGIS/rest/services/i311_SWR/MapServer/0,,,,,,,,,
,Geauga,Ohio,,,,,http://www.auditor.co.geauga.oh.us/LinkClick.aspx?fileticket=0HhWy6rLrTQ%3d&tabid=1796&portalid=13&mid=3442,,,,,,,,,
,Portage,Ohio,,Joe Reichlin,jreichlin@portageco.com,330-297-3510,,,,,,,,,,
Toledo,Lucas,Ohio,57,,,,http://services1.arcgis.com/JVJnGNgPBDy0lB85/ArcGIS/rest/services/Address/FeatureServer/0,,,,,,,,,
Oklahoma City,,Oklahoma,30,,,,,,,,,,,,,
Tulsa,,Oklahoma,46,,,,,,,,,,,,,
Portland,,Oregon,29,,CGIS@portlandoregon.gov,,ftp://ftp02.portlandoregon.gov/CivicApps/address.zip,,,,,,,,,
Philadelphia,,Pennsylvania,5,,,,http://www.pasda.psu.edu/philacity/data/Philadelphia_DOR_Parcels_Active201302.zip,http://www.pasda.psu.edu/uci/PhiladelphiaAgreement.asp,,,,,,,,
Pittsburgh,Allegheny,Pennsylvania,58,,,,ftp://www.pasda.psu.edu/pub/pasda/alleghenycounty/AlleghenyCounty_AddressPoints201311.zip,,,,,,,,,
,Jefferson,Tennessee,,,,,http://maps.binarybus.com/arcgis/rest/services/Jefferson/jefferson/MapServer/1,,,,,,,,,
Memphis,,Tennessee,17,,gis@memphistn.gov,,http://mapview.memphistn.gov/ArcGIS/rest/services/Parcels2010/MapServer/0,,,,,,,,,
Nashville-Davidson,,Tennessee,25,,,(615) 880-3416,http://maps.nashville.gov/MetGIS/rest/services/QueryLayers/AddressPoints/MapServer/1,,,,,,,,,
Arlington,(Tarrant),Texas,49,,,,(Use Tarrant County),,,,,,,,,
Austin,,Texas,16,,,,ftp://ftp.ci.austin.tx.us/GIS-Data/Regional/address_points/address_point.zip,,11/8/2013,,,,,,,
,Colleyville,Texas,,,,,http://gis.dfwmaps.com/ArcGIS/rest/services/Colleyville/Colleyville_BaseLayers_VE/MapServer/1,,,,,,,,,
Corpus Christi,,Texas,63,,,,,,,,,,,,,
Dallas,Dallas,Texas,9,,Michael.Miller2@dallascityhall.com,,http://gis.dfwmaps.com/ArcGIS/rest/services/Dallas/DallasLayers_All_VE/MapServer/2,,,,,,,,,
(Fort Worth),Denton,Texas,,,,,http://gis.dentoncounty.com/ArcGIS/rest/services/CAD/MapServer/0,,,,,,,,,
,Desoto,Texas,,,,,http://gis.dfwmaps.com/ArcGIS/rest/services/Desoto/Desoto_Baselayers_VE/MapServer/2,,,,,,,,,
,Doña Ana,Texas,,,,,http://www.pdnmapa.org/HTML/dacshps/DAC_Address.zip,,,,,,,,,
El Paso,,Texas,23,,,,http://www.pdnmapa.org/HTML/epshps/parcels.zip,,,,,,,,,
Fort Worth,Denton,Texas,20,,webpostings@fortworthtexas.gov,,,,,,,,,,,
Garland,,Texas,88,,,,,,,,,,,,,
Houston,Harris,Texas,4,,,713-837-7777,http://pdata.hcad.org/GIS/Parcels.exe,,,,,,,,,
,Hurst,Texas,,,,,http://gis.dfwmaps.com/ArcGIS/rest/services/Hurst/Hurst_BaseLayers_VE/MapServer/1,,,,,,,,,
,Keller,Texas,,,,,http://gis.dfwmaps.com/ArcGIS/rest/services/Keller/Keller_All_VE/MapServer/13,,,,,,,,,
Laredo,,Texas,93,Adrian Gause,agause@ci.laredo.tx.us,(956) 794-1625,,,,,,,,,,
Lubbock,,Texas,87,,,,http://ewebmap.ci.lubbock.tx.us/currentdata/parcels/parcels.zip,,,,,,,,,
North Richland Hills,,Texas,,,,,http://gis.dfwmaps.com/ArcGIS/rest/services/NRH/NRH_Baselayers_VE/MapServer/1,,,,,,,,,
Plano,Collin,Texas,69,,,,http://gismaps.collincountytx.gov/ArcGIS/rest/services/county/IdentifyParcels/MapServer/0,,,,,,,,,
San Antonio,,Texas,8,,gis@sanantonio.gov,,https://gis.sanantonio.gov/ArcGIS/rest/services/BaseData/MapServer/0,,,,,,,,,
(Fort Worth),Tarrant,Texas,,,,,https://mapit.tarrantcounty.com/arcgis/rest/services/Dynamic/wsAddressLU64/MapServer/7,,,,,,,,,
University Park,,Texas,,,,,http://gis.dfwmaps.com/ArcGIS/rest/services/UniversityPark/UP_All_VE/MapServer/5,,,,,,,,,
Salt Lake City,,Utah,,,,,ftp://ftp.agrc.utah.gov/UtahSGID_Vector/UTM12_NAD83/LOCATION/UnpackagedData/AddressPoints/_Statewide/AddressPoints_shp.zip,,,,,mvexel,,,,
Alexandria,,Virginia,,,gishelp@alexandriava.gov,,,,,,,,,,,
Arlington,,Virginia,99,Jerry Coates,gismc@arlingtonva.us,(703) 228-4391,http://gis.arlingtonva.us/arlgis/rest/services/public/Addresses/MapServer/0,,,,,,,,,
Chesapeake,,Virginia,85,,GISTeam@cityofchesapeake.net,,paid FTP site,http://www.cityofchesapeake.net/Government/City-Departments/Departments/Information-Technology-Department/02gis/disclaimer.htm,,,,,,,,
Norfolk,,Virginia,74,,http://va-norfolk.civicplus.com/FormCenter/Geographic-Information-Systems-30/Contact-Us-93,757-664-4500,,,,,,,,,,
Virginia Beach,,Virginia,41,Dave Palmer,dpalmer@vbgov.com,(757)385-8184,,,,,,,,,,
Seattle,King,Washington,26,,,,ftp://ftp.kingcounty.gov/gis/Web/GISData/address_SHP.zip,http://www5.kingcounty.gov/gisdataportal/,,,,,,,,
,Snohomish,Washington,,,,,ftp://ftp.snoco.org/E-911/Shapefiles/Addresspoints.zip,Unknown,2013,,,,,,,
,Adams,Wisconsin,,,,,http://gis2.msa-ps.com/ArcGIS/rest/services/StreetsAddress/MapServer/29,,,,,,,,,
,Bayfield,Wisconsin,,,,,http://www.bayfieldcounty.org/ArcGIS/rest/services/BFLRMapBasic/MapServer/0,,,,,,,,,
,Buffalo,Wisconsin,,Matthew Martin,matthew.martin@buffalocounty.com,(608) 685-6285,,,,,,,,,,
,Calumet,Wisconsin,,,,,ftp://liouser:l!oguest1@ftp.co.calumet.wi.us/websitedata/CalumetAddressPts.zip,,,,,,,,,
,Columbia,Wisconsin,,,,,http://lrs.co.columbia.wi.us/ArcGIS/rest/services/LRS/Addresses/MapServer/0,,,,,,,,,
,Crawford,Wisconsin,,,,,http://gis2.msa-ps.com/ArcGIS/rest/services/StreetsAddress/MapServer/22,,,,,,,,,
Madison,Dane,Wisconsin,82,,,,http://dcimapapps.countyofdane.com/arcgis/rest/services/TaxParcel/MapServer/1,,,,,,,,,
,Dodge,Wisconsin,,,,,http://gis2.msa-ps.com/ArcGIS/rest/services/StreetsAddress/MapServer/47,,,,,,,,,
,Door,Wisconsin,,Tom Haight,thaight@co.door.wi.us,(920) 746-2391,,,,,,,,,,
,Eau Claire,Wisconsin,,,peter.strand@co.eau-claire.wi.us,,,,,,,,,,,
,Fond du Lac,Wisconsin,,,Land.Information@fdlco.wi.gov,,http://gisweb.fdlco.wi.gov/ArcGIS/rest/services/VectorMapLayers/MapServer/21,,,,,,,,,
,Green,Wisconsin,,,,,http://gis2.msa-ps.com/ArcGIS/rest/services/StreetsAddress/MapServer/6,,,,,,,,,
,Green Lake,Wisconsin,,,,,http://gis2.msa-ps.com/ArcGIS/rest/services/StreetsAddress/MapServer/0,,,,,,,,,
,Iron,Wisconsin,,,,,http://maps.ironcountywi.org:6080/arcgis/rest/services/addresses/MapServer/0,,,,,,,,,
,Juneau,Wisconsin,,,,,http://gis2.msa-ps.com/ArcGIS/rest/services/StreetsAddress/MapServer/2,,,,,,,,,
,Kenosha,Wisconsin,,,,,http://kc-web-01.kenoshacounty.org/arcgis/rest/services/Interactive_Mapping/AddressPoints/MapServer/0,,,,,,,,,
,La Crosse,Wisconsin,,,LandRecordsPortal@co.la-crosse.wi.us,,http://www.co.la-crosse.wi.us:81/ParcelAddressDimensionLabels/ParcelLabels/1/query,,,,,,,,,
,Lincoln,Wisconsin,,,,,http://gis2.msa-ps.com/ArcGIS/rest/services/StreetsAddress/MapServer/49,,,,,,,,,
,Manitowoc,Wisconsin,,,,,http://webmap2.manitowoc-county.com/agsweb/rest/services/Web_MercClipandShip/MapServer/1,,,,,,,,,
,Marinette,Wisconsin,,Tim Oestreich,,(715) 732-7541,,,,,,,,,,
Milwaukee,,Wisconsin,22,,,,http://city.milwaukee.gov/DownloadMapData3497.htm,indemnification,,,,,,,,
,Oconto,Wisconsin,,,lis@co.oconto.wi.us,(920) 834-6800,,,,,,,,,,
,Oneida,Wisconsin,,,,,http://gis2.msa-ps.com/ArcGIS/rest/services/StreetsAddress/MapServer/20,,,,,,,,,
,Outagamie,Wisconsin,,,,,ftp://FTPGISWEBREAD:ftpgiswebread@ftp.co.outagamie.wi.us/users/ftpgisweb/AddressPointsSHAPE.zip,,,,,,,,,
,Portage,Wisconsin,,,,,http://gisinfo.co.portage.wi.us/ArcGIS/rest/services/Basemap/OperationalMSD/MapServer/1,,,,,,,,,
,Richland,Wisconsin,,,,,http://gis2.msa-ps.com/ArcGIS/rest/services/RichlandCo/RichlandCo_GIS_Public/MapServer/6,,,,,,,,,
,Rusk,Wisconsin,,John Fitzl,john@ruskcountywi.us,,,,,,,,,,,
,Sauk,Wisconsin,,,,,http://gis2.msa-ps.com/ArcGIS/rest/services/StreetsAddress/MapServer/18,,,,,,,,,
Superior,,Wisconsin,,,,,ftp://maps:CityCounty@216.56.28.54/array1/maps/Web/ADDRPLCS.zip,,,,,,,,,
,Trempealeau,Wisconsin,,,,,http://www.tremplocounty.com/ArcGIS/rest/services/Public/Landmarks_Addressing/MapServer/2,,,,,,,,,
,Vernon,Wisconsin,,,,,"Fire codes only, not really addresses.",,,,,,,,,
,Vilas,Wisconsin,,,,,http://gis2.msa-ps.com/ArcGIS/rest/services/StreetsAddress/MapServer/4,,,,,,,,,
,Walworth,Wisconsin,,,,,http://gisapps.co.walworth.wi.us/ArcGIS/rest/services/gisweb_Intranet/MapServer/3,,,,,,,,,
,Waukesha,Wisconsin,,,,,http://lis.waukeshacounty.gov/ArcGIS/rest/services/E911/MapServer/12,,,,,,,,,
,Waupaca,Wisconsin,,,,,http://www.co.waupaca.wi.us/landinformation/Data.aspx,,,,,,,,,
,Winnebago,Wisconsin,,Dave Levine,,(920)232-3334,,,,,,,,,,
,Wood,Wisconsin,,,,,http://gis.co.wood.wi.us/gis/rest/services/FlexGIS/AddressesWGS/MapServer/0,,,,,,,,,
,,Utah,,Bert Granberg,bgranberg@utah.gov,,"download, arccgis web service",PD (to verify),,,free,mvexel,in person,data released. discussions ongoing on local OSM community end as well as with AGRC,,
,,Utah,,,,,Parcels,PD,2012 and older,to investigate,free,mvexel,in person,some counties are more complete than others' - compare with address file to be released. ,,
